transaction_id,price,customer_id,payment_method,timestamp,flag,total_quantity
130001,883.31,9562,Credit Card,2023-10-25 18:06:36,app,8
130002,976.07,2896,PayPal,2024-04-15 13:47:32,app,9
130003,40.47,8757,Credit Card,2024-05-23 17:05:34,app,5
130004,112.07,6573,Credit Card,2024-06-27 23:19:46,app,10
130005,674.25,3069,Credit Card,2024-03-05 06:28:02,app,4
130006,180.6,17,PayPal,2024-09-24 20:33:47,app,6
130007,68.29,8660,PayPal,2024-01-17 18:11:49,app,6
130008,516.21,5713,PayPal,2023-12-13 09:56:04,app,5
130009,250.42,158,Bank Transfer,2023-11-05 23:58:31,app,9
130010,218.49,2755,PayPal,2023-12-22 00:02:21,app,8
130011,301.18,260,PayPal,2024-05-07 05:34:10,app,10
130012,39.15,1729,Bank Transfer,2023-12-09 21:57:11,app,5
130013,777.58,2901,Credit Card,2023-11-21 08:19:41,app,4
130014,681.85,9694,Bank Transfer,2023-10-21 00:42:51,app,3
130015,263.81,8487,Bank Transfer,2024-02-02 08:22:10,app,3
130016,736.76,8027,PayPal,2024-03-22 13:12:56,app,7
130017,373.99,1388,Bank Transfer,2023-10-25 10:19:36,app,10
130018,321.26,6869,Bank Transfer,2024-03-16 19:52:00,app,5
130019,79.44,2400,Credit Card,2024-02-07 10:50:29,app,5
130020,584.77,5219,Bank Transfer,2023-10-26 09:17:11,app,4
130021,523.7,9819,Bank Transfer,2024-03-19 07:20:47,app,3
130022,959.15,685,Credit Card,2024-01-27 15:00:09,app,5
130023,705.69,1054,PayPal,2024-04-05 22:11:03,app,1
130024,23.56,2853,Credit Card,2024-01-16 00:27:30,app,1
130025,26.19,9172,Bank Transfer,2024-08-25 18:27:41,app,1
130026,849.94,2477,Bank Transfer,2024-06-21 00:35:28,app,8
130027,690.15,2954,PayPal,2024-02-16 06:22:49,app,5
130028,158.94,1565,PayPal,2024-04-09 11:05:12,app,1
130029,37.33,888,Bank Transfer,2023-12-16 16:59:26,app,6
130030,556.26,1847,Credit Card,2024-03-30 02:30:04,app,10
130031,630.27,6821,PayPal,2024-07-28 20:29:36,app,3
130032,935.27,9889,PayPal,2024-06-28 01:13:57,app,8
130033,985.41,9844,PayPal,2024-09-12 23:32:28,app,8
130034,491.65,6822,Bank Transfer,2023-12-27 11:20:31,app,2
130035,690.72,17,Credit Card,2023-12-19 21:28:28,app,4
130036,116.63,9436,PayPal,2024-01-29 13:57:47,app,9
130037,27.98,1463,Bank Transfer,2024-09-17 03:22:54,app,2
130038,891.92,8923,Credit Card,2024-05-02 11:33:22,app,2
130039,27.03,5983,Credit Card,2023-12-30 09:19:00,app,6
130040,709.86,4986,Bank Transfer,2024-05-17 10:35:34,app,8
130041,565.59,7474,Credit Card,2024-06-03 03:44:57,app,1
130042,871.33,7383,Bank Transfer,2024-09-26 16:26:35,app,5
130043,991.65,3237,Credit Card,2024-05-03 23:08:09,app,7
130044,196.73,5283,Bank Transfer,2023-10-19 11:25:07,app,6
130045,967.52,1145,Bank Transfer,2024-03-13 07:32:10,app,8
130046,64.12,8591,PayPal,2024-02-23 12:07:19,app,5
130047,876.56,6214,PayPal,2024-03-17 08:11:59,app,4
130048,277.53,8651,Credit Card,2024-03-16 02:04:04,app,8
130049,300.87,231,PayPal,2024-01-18 17:05:28,app,5
130050,335.06,4764,Bank Transfer,2024-09-28 03:35:06,app,10
130051,511.21,6262,PayPal,2024-08-12 04:03:46,app,8
130052,52.56,3968,Bank Transfer,2024-04-27 23:45:40,app,4
130053,609.45,2877,Bank Transfer,2024-07-19 16:44:42,app,8
130054,866.45,5469,PayPal,2023-10-19 13:08:59,app,2
130055,736.61,8927,Credit Card,2024-09-13 21:16:13,app,8
130056,524.11,1433,Bank Transfer,2024-04-17 03:06:17,app,8
130057,200.88,3560,Bank Transfer,2024-05-12 00:39:49,app,9
130058,232.59,6332,PayPal,2023-12-05 19:10:02,app,7
130059,365.34,5531,PayPal,2023-10-05 18:15:37,app,6
130060,228.49,6222,PayPal,2024-01-27 01:15:18,app,8
130061,618.85,665,Credit Card,2024-04-29 17:57:17,app,6
130062,36.65,4527,Credit Card,2023-10-24 13:08:18,app,2
130063,376.08,4146,Credit Card,2024-01-08 20:46:10,app,6
130064,570.91,3923,Bank Transfer,2024-07-04 16:40:07,app,5
130065,665.88,8326,PayPal,2024-09-24 10:27:50,app,4
130066,34.92,409,PayPal,2024-06-26 16:01:37,app,3
130067,734.88,513,PayPal,2024-02-02 20:15:35,app,6
130068,174.55,7603,PayPal,2024-07-14 15:14:57,app,9
130069,767.95,2907,PayPal,2024-02-18 03:49:49,app,1
130070,682.56,9345,Bank Transfer,2024-10-02 11:56:35,app,2
130071,351.64,4858,Credit Card,2024-06-12 21:36:13,app,9
