store_id,location_name,city,country
1,Dorsey-Best,Ramoschester,Kiribati
2,"Ramsey, Carrillo and Molina",North Stevenberg,Fiji
3,Pearson-Edwards,Port Toddborough,Tanzania
4,"Andrews, Carrillo and Morales",Pamelaport,Barbados
5,"Thomas, Mitchell and Craig",Lake Joseton,Korea
6,"Hopkins, Pena and Cook",Lake Jennifer,Serbia
7,"Burnett, Lee and Reyes",Kimberlyland,Albania
8,Carter Inc,Millerport,Australia
9,Smith Ltd,Tammyview,Chile
10,Robertson LLC,Lake Shelby,Maldives
11,"Miller, Carr and Chavez",Holmesborough,Maldives
12,Lawson-Richard,East Denise,Cuba
13,"Johnson, Campbell and Martin",Davidsonton,Iceland
14,Ball Inc,Gutierrezfort,Trinidad and Tobago
15,Brown-Carroll,Williamsfort,Iran
16,Williams-Perez,Lisaberg,Lithuania
17,"Nelson, Smith and Duffy",Wrightberg,Ghana
18,Lopez-Orr,North Kellyton,Antigua and Barbuda
19,"Boyle, Gardner and Cooper",East Deborahbury,Andorra
20,Lee-Wise,West Karenport,Egypt
21,"Johns, Lopez and Reynolds",Petersside,Albania
22,Salinas-Bentley,East Danielton,Romania
23,Newman and Sons,Jaredport,Samoa
24,"Norris, Bishop and Smith",Wuton,Zimbabwe
25,"Henry, Sanders and Nelson",Gailfort,Guinea-Bissau
26,"Delacruz, Sheppard and May",Yangchester,Serbia
27,"Wilson, Edwards and Floyd",Victorville,Gabon
28,"Castillo, Brown and Esparza",East Justin,Liberia
29,Williams-Hinton,North Patriciamouth,Angola
30,Simmons-Hopkins,Stephanieshire,Tokelau
31,Ramirez-Palmer,Padillabury,Tokelau
32,Murphy Ltd,Port Teresa,Cook Islands
33,"Jones, Miller and Rodriguez",West Whitneymouth,Palau
34,Brown-Reed,North Christina,Jersey
35,Jensen-Taylor,Reneeland,Jersey
36,Arnold-Reyes,Angelafort,Pitcairn Islands
37,"Howard, Ramos and Lopez",Smithland,Suriname
38,Wade and Sons,Danielside,French Guiana
39,Wright Ltd,Cartershire,Oman
40,"Blankenship, Brown and Sawyer",South Eric,Saint Kitts and Nevis
41,"Lopez, Tran and Dixon",Anthonyborough,Vietnam
42,"Harmon, Carpenter and Grant",Morrisonstad,Central African Republic
43,Wilkinson Group,Michaelton,Philippines
44,Cervantes Inc,South Erin,Christmas Island
45,Dixon Group,New Keithtown,Ukraine
46,Lang-Butler,South Scott,Andorra
47,Greer-Smith,New Mary,Guyana
48,"Robbins, Arnold and Lee",Robertberg,American Samoa
49,Estrada Group,Port Sara,Mozambique
50,Oconnell-Sweeney,South Shannonfort,Senegal
51,Turner-Pope,West Monicaside,Saudi Arabia
52,Jacobs-Klein,Taylorberg,Guam
53,Smith-Garcia,West Angelamouth,Cook Islands
54,Conrad Group,West Daniel,French Southern Territories
55,Arnold Ltd,East Christinaport,Vietnam
56,"Brown, Walker and Foster",Ryanbury,Taiwan
57,Meyers LLC,Jeffreyfurt,Syrian Arab Republic
58,Jones-Johnson,Pamelafort,Ireland
59,"Chan, Rivera and Thompson",Callahanport,Somalia
60,Pennington and Sons,Port Aaronville,Reunion
61,Johnson Ltd,Mooneyside,Svalbard & Jan Mayen Islands
62,Hall-Meyer,Donaldfort,Afghanistan
63,Perez Group,East Michaelchester,Tokelau
64,Smith LLC,Port John,Turks and Caicos Islands
65,Nixon Group,East Rachelchester,Russian Federation
66,Wade Ltd,Bondside,Uganda
67,"Pham, Carlson and Carroll",Vazquezport,Cambodia
68,"Morales, Williams and Nguyen",Sharonmouth,Palau
69,Sims-Brown,North Autumnville,Nauru
70,Campbell-Moss,West Benjaminhaven,American Samoa
71,Stein-Hays,Amyshire,Palau
72,Jones LLC,Danielchester,Brunei Darussalam
73,Douglas-Bennett,Lake Robert,United States Virgin Islands
74,"Mendez, Hahn and Ponce",Jonesstad,Saint Barthelemy
75,Mendoza-Sellers,North Diana,Malta
76,Love-Lewis,Chaseborough,Western Sahara
77,Rogers-Barker,Andersonhaven,Estonia
78,Green and Sons,East Deborahchester,Aruba
79,"Wagner, Jordan and Simmons",West Heidi,Panama
80,James PLC,West Rebecca,Tajikistan
81,"Wells, Peters and Wilson",Ellisshire,France
82,Wilson-Castaneda,Lake Melanieport,Burundi
83,Bell-Torres,East Jasmine,Dominican Republic
84,Walsh-Saunders,Meganbury,Niger
85,Macias-Spencer,Aliberg,United States of America
86,"Kent, Martinez and Vega",New Jameston,Rwanda
87,Andrews-Gutierrez,Jeromeport,Ethiopia
88,Lee Inc,Kevinville,Guinea
89,Barnes-Silva,Lake Ryan,Finland
90,"Bell, Nguyen and Jackson",Lake Lisamouth,Venezuela
91,Rojas-Salazar,Dawnstad,Indonesia
92,Fisher Ltd,Harrisbury,Guinea
93,"Thomas, Dickson and Anderson",Lake Coltonborough,Montenegro
94,Morris LLC,South Katie,Iraq
95,"Carter, Ayala and Mitchell",South Christopher,Martinique
96,Murphy-Donaldson,Dawnborough,Cocos (Keeling) Islands
97,Williams PLC,Reginaldmouth,Brunei Darussalam
98,Rosales LLC,North Damonstad,Norfolk Island
99,Jarvis PLC,Lake Dale,Cuba
100,Miller-Chen,Markborough,United States of America
